Vendor	Model	FW Ver	Notes	Buffer Read Support	Size Per Sector in Buff	Scrambled	ECC	Returns Uncorrected Data	Date Submitted	Program Version	Submitted By
Philips	DROM6016/44		Disc shows as 1 sector larger than other drives. This returns 26 extra bytes in pairs of two bytes interweaved within the sector, not sure what it is. seems to be added bytes around PI/PO area?	3C 02 00	2392	Yes	Yes	No	2023-09-30	2023-06-17	Sazpaimon
Philips	DVD8301/42	7H29	HP DVD Writer 300c USB Device	No	No	No	No	No	2023-12-20	2023-12-12a	Sazpaimon
Philips	DVD8301/44	7H29	HP DVD Writer 300c USB Device	No	No	No	No	No	2023-12-20	2023-12-12a	Sazpaimon
Philips	SCB5265	TX07		No	No	No	No	No	2023-10-04	2023-10-01a	Lazerdude
Pioneer	BDR-209D	1.51		No	No	No	No	No	2023-10-01	2023-10-01a	bikerspade
Pioneer	BDR-212V			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Pioneer	BDR-S13U	1.04		No	No	No	No	No	2023-10-18	2023-10-01a	cell21633
Pioneer	BDR-TD03VA			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Pioneer	DVR-107D	1.16		No	No	No	No	No	2023-12-12	2023-12-12	Sazpaimon
Pioneer	DVR-108	1.20		No	No	No	No	No	2023-10-30	2023-10-01a	Lazerdude
Pioneer	DVR-108VA		Returns 2064 bytes of unscrambled, oddly enough the data is offset and does not exist at the beginning of this region of RAM.	3C 00 C4	2064	No	No	Yes	2023-09-30	2023-06-17	Sazpaimon
Pioneer	DVR-111L	8.29		No	No	No	No	No	2023-12-18	2023-12-12a	alisson_df
Pioneer	DVR-112D	1.21		No	No	No	No	No	2023-10-30	2023-10-01a	Lazerdude
Pioneer	DVR-215	1.19		No	No	No	No	?	2023-10-31	2023-10-01a	Lazerdude
Pioneer	DVR-K17RS	1.00		No	No	No	No	No	2023-12-19	2023-12-12a	alisson_df
PLDS	DH-16AES	DD12		3C 01 01 3C 01 02 F1 06	2236	Yes	PO Only	?	2023-12-26	2023-12-12a	registryeditor
PLDS	DH-8B2SH	UD11	3C 01 01 and 3C 02 00 return the same data. There seems to be several values of F1 that return data but unsure if any of them would've had sector data, as there are some values of F1's opcode that might be writing and replacing data in the cache.	3C 01 01 3C 02 00 F1 ??	2384	Yes	Yes	?	2023-12-11	2023-12-11	Sazpaimon
PLDS	DS-8A4S	JD12		3C 01 01	2384	Yes	Yes	?	2023-11-18	2023-10-01a	olofolleola4
PLDS	DS-8A8SH	KD11	does not include 11 strips of 10 byte PI data in sector	3C 01 01 3C 01 02	2236	Yes	PO Only	?	2023-10-11	2023-10-01a	ehw
PLDS	DS-8A9SH	ED11	does not include 11 strips of 10 byte PI data in sector	3C 01 01 3C 01 02	2236	Yes	PO Only	?	2023-10-11	2023-10-01a	ehw
Plextor	PX-708A			3C 02 00	2064	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-712A			3C 02 00	2064	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-716A			3C 02 00	2064	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-716AL			3C 02 00	2064	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-755A			3C 02 00	2064	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-760A			3C 02 00	2064	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-800A			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-870A			3C 01 01	2384	Yes	Yes	Yes	2023-09-30	2023-06-17	Sazpaimon
Plextor	PX-880SA			3C 01 01	2384	Yes	Yes	Yes	2023-09-30	2023-06-17	Sazpaimon
