
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip). 
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC).

Information: JLMS drives are listed as Lite-ON,   HL-DT-ST as LG Electronics  &  Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
hp - DVD-ROM DTB0N	+102	1	100%
hp - DVD-ROM DU20N	+667	2	100%
HP - DVD-ROM rm475e	+6	7	100%
hp - DVD-ROM SH-116BB	+6	1	100%
hp - DVD-ROM SN-108DB	+6	2	100%
hp - DVD-ROM SN-108FB	+6	1	100%
hp - DVD-ROM TS-H353B	+6	8	100%
hp - DVD-ROM TS-H353C	+6	14	100%
hp - DVD-ROM TS-L333B	+6	1	100%
hp - DVD-ROM TS-L333F	+6	1	100%
hp - DVDRAM GA31N	+103	2	100%
hp - DVDRAM GS20N	+667	7	100%
hp - DVDRAM GS30N	+667	14	100%
hp - DVDRAM GSA-U20N	+667	5	100%
hp - DVDRAM GT20L	+667	161	100%
hp - DVDRAM GT30L	+103	376	100%
hp - DVDRAM GT30N	+103	2	100%
hp - DVDRAM GT31L	+103	136	100%
hp - DVDRAM GT31N	+103	24	100%
hp - DVDRAM GT50N	+103	173	100%
hp - DVDRAM GT80N	+102	64	100%
hp - DVDRAM GTA0N	+102	13	100%
hp - DVDRAM GTB0N	+102	5	100%
hp - DVDRAM GU10N	+667	16	100%
hp - DVDRAM GU40N	+103	12	100%
hp - DVDRAM GU60N	+6	14	100%
hp - DVDRAM GU70N	+48	37	100%
hp - DVDRAM GU90N	+102	63	100%
hp - DVDRAM GUB0N	+102	7	100%
hp - DVDROM DH20N	+6	16	100%
hp - DVDROM DH40N	+6	12	100%
hp - DVDROM DH41N	+6	6	100%
hp - DVDROM DH51N	+6	1	100%
hp - DVDROM DT30N	+103	1	100%
hp - DVDROM DT50N	+103	1	100%
hp - DVDRW DU8A5SHL	+6	20	100%
hp - DVDRW DU8A6SH	+6	29	100%
hp - DVDRW GUB0N	+102	36	100%
hp - DVDRW SU208FB	+6	22	100%
hp - DVDRW SU208GB	+6	32	100%
hp - DVDRW SU208HB	+6	4	100%
hp - DVDRW UJ8FBA	+6	8	100%
hp - DVDRW UJ8G2A	+103	3	100%
hp - DVDRW GUC0N	+6	3	100%
hp - DVDWBD SN-406AB	+6	3	100%
hp - DVDWBD TS-HB43LB	+6	1	100%
hp - DVDWBD TS-LB23L	+6	64	100%
hp - DVDWBD TS-LB23P	+6	22	100%
hp - DVDWBD TS-TB23L	+6	20	100%
hp - DW-224S-V	+102	1	100%
HP - PhotoSmart DVD	+667	3	100%
hp DVD - DE8A3L	+6	10	100%
hp HLDS - DVDRW GUD0N	+102	4	100%
hp TSST - DVDRW SU-208HB	+6	2	100%
IBM - CD-RW-DVD-ROM	+102	8	100%
IBM - CDRW-USB2	+685	5	100%
IBM - DVRM00203	+103	1	100%
IBM - RMBO0020311	+102	3	100%
IBM - USB CD-ROM	+678	13	100%
IBM - USB2 MultiBurner	+102	7	100%
IDE-CD - CROM6048	+691	1	100%
IDE-CD - CDRW7352	+738	1	100%
IDE-CD - R-RW 12x8x32	+692	2	100%
IDE-CD - R-RW 16x10A	+733	10	100%
IDE-CD - R-RW 16x12A	+733	2	100%
IDE-CD - R-RW 48xC	+738	4	100%
IDE-CD - R-RW 4x4x32	-436	23	100%
IDE-CD - R-RW 8x4x32	-436	21	100%
IDE-CD - ReWritable-2x2x6	+1263	2	100%
IDE-DVD - DROM6216	+738	143	100%
IDE-DVD - DVDRW6002	+120	1	100%
IDE-DVD - DVDRW8631	+618	3	100%
IDE-DVD - DVDRW8651	+618	26	100%
IDE-DVD - DVDRW8801	+618	7	100%
IDE-DVD - ROM 16x	+691	59	100%
IDE-DVD - ROM 6116	+691	63	100%
IMATION - DVD+-RAM ELITE	+48	2	100%
Imation - IMW16DL84I	+6	2	100%
Imation - IMW18DL88RAME	+6	1	100%
Imation - IMW20DL88RAMI	+6	1	100%
Imation - IMW241040IAB	+97	1	100%
Imation - IMW242424DV8E	+6	2	100%
Imation - IMW4222DV8E	+12	2	100%
Imation - IMWDVRW16DL84E	+6	1	100%
Imation - IMWDVRW16DL84I	+6	1	100%
IMATION - IMWDVRW16DLI	+12	1	100%
Imation - Slim DVD	+6	21	100%
IN-CDRW - DX-CDRW	+6	1	100%
IOMEGA - CDDVD482416E23-C	+6	8	100%
IOMEGA - CDDVD522416EC3-C	+6	5	100%
IOMEGA - CDDVD523216E23-B	+6	1	100%
IOMEGA - CDRW19200INT-A	+98	2	100%
IOMEGA - CDRW19202EXT2-B	+12	1	100%
IOMEGA - CDRW23042EXT3-C	+12	5	100%
IOMEGA - CDRW2304FEXT-B	+12	1	100%
IOMEGA - CDRW55292EXT3-B	+6	9	100%
IOMEGA - CDRW55292EXT3-C	+6	7	100%
IOMEGA - CDRW55296INT-C	+6	1	100%
IOMEGA - CDRW6402EXT-B	+12	12	100%
IOMEGA - CDRW64892EXT3-B	+6	12	100%
IOMEGA - CDRW64892EXT3-C	+6	4	100%
IOMEGA - CDRW86522EXT3-B	+6	18	100%
IOMEGA - CDRW86522EXT3-C	+6	14	100%
IOMEGA - CDRW9602EXT-B	+12	10	100%
IOMEGA - CDRW9602EXT3-B	+12	2	100%
IOMEGA - DVDRW12448E2D-B	+12	1	100%
IOMEGA - DVDRW4216IND-A	+48	6	100%
IOMEGA - DVDRW4216INP-A	+48	2	100%
IOMEGA - DVDRW4224E2Q-D	+667	18	100%
IOMEGA - DVDRW4224INQ-D	+667	24	100%
IOMEGA - DVDRW8440E2D-B	+12	1	100%
Iomega - Slimline DVD	+6	32	100%
Iomega - Super DVD	+6	3	100%
IOMEGA - ZIPCD 650 USB	-436	8	100%
IOMEGA - ZIPCD-DVDROM	+708	3	100%
IOMEGA - ZIPCD1024INT-A	-436	3	100%
IOMEGA - ZIPCD3840INT-A	+99	2	100%
JUMBO - CDRW-DVD DBW521A	+6	1	100%
JVC - DVD CU-VD40	+30	1	100%
KENWOOD - CD-ROM UCR-415	+12	1	100%
KENWOOD - CD-ROM UCR-421	+12	13	100%
KiSS - DVD-ROM DR-1712	-472	2	100%
KiSS - DVD-ROM DR-1802	+691	2	100%
KiSS - DVD-ROM DR2012C	+6	1	100%
LACIE - CDBP-241040A	+688	3	100%
LENOVO - BURNER GP80N	+103	1	100%
Lenovo - Slim_USB_Burner	+6	67	100%
LENOVO - USB MultiBurner2	+102	4	100%
Lenovo - USB_DVD_Burner5	+6	22	100%
LENOVO - USB_MultiBurner3	+594	17	100%
LENOVO - USB_SATA_Burner3	+6	24	100%
LENOVO - USB_SATA_Burner4	+6	7	100%
LG - CD-DVD-ROM	0	2	100%
LG - CD-ROM CRD-8400B	-24	20	100%
LG - CD-ROM CRD-8480B	-24	2	100%
LG - CD-ROM CRD-8480C	-24	5	100%
LG - CD-ROM CRD-8480M	-24	6	100%
LG - CD-ROM CRD-8481B	-24	2	100%
LG - CD-ROM CRD-8482B	-24	34	100%
LG - CD-ROM CRD-8483B	+12	14	100%
LG - CD-ROM CRD-8484B	-491	15	100%
LG - CD-ROM CRD-8485B	+12	2	100%
LG - CD-ROM CRD-8520B	+12	10	100%
LG - CD-ROM CRD-8521B	+12	45	100%
LG - CD-ROM CRD-8522B	-491	58	100%
LG - CD-ROM CRN-8241B	-24	2	100%
LG - CD-ROM CRN-8245B	-491	49	100%
LG - CD-RW CED-8080B	+86	113	100%
LG - CD-RW CED-8081B	+86	6	100%
LG - CD-RW CED-8083B	+86	22	100%
LG - CD-RW CED-8120B	+685	54	100%
LG - DVD-RAM DAD8020B	+667	1	100%
LG - DVD-ROM DRD8120B	+594	84	100%
LG - DVD-ROM DRD8160B	+594	164	100%
LG - DVD-ROM DRN8080B	-24	12	100%
LG - GCE-8483B	+6	1	100%
LG - CD-ROM CRD-8322B	-24	13	100%
LG - CD-ROM CRD-8360B	-24	1	100%
LG - CD-ROM CRN-8241B	-24	2	100%
LG (KOR) - CD-ROM CRD-8520B	+12	2	100%
LG (KOR) - CD-ROM CRD-8523B	-24	1	100%
LG (KOR) - DVD-ROM DRD8120B	+594	4	100%
LG (KOR) - DVD-ROM DRD8160B	+594	4	100%
LG (OEM) - CD-ROM CRD-8521B	+12	2	100%
LG Electronics - BD-RE GGW-H10N	+667	4	100%
LG Electronics - BD-RE BE06LU10	+667	93	100%
LG Electronics - BD-RE BE06LU11	+667	1	100%
LG Electronics - BD-RE BE08LU20	+667	50	100%
LG Electronics - BD-RE BE12LU30	+667	89	100%
LG Electronics - BD-RE BE12LU38	+667	74	100%
LG Electronics - BD-RE BE14NU40	+6	163	100%
LG Electronics - BD-RE BH08LS20	+667	315	100%
LG Electronics - BD-RE BH08NS20	+667	117	100%
LG Electronics - BD-RE BH10LS30	+667	1718	100%
LG Electronics - BD-RE BH10LS38	+667	696	100%
LG Electronics - BD-RE BH10NS30	+667	241	100%
LG Electronics - BD-RE BH10NS38	+667	56	100%
LG Electronics - BD-RE BH12LS30	+667	18	100%
LG Electronics - BD-RE BH12LS35	+667	88	100%
LG Electronics - BD-RE BH12LS38	+667	168	100%
LG Electronics - BD-RE BH12NS30	+667	72	100%
LG Electronics - BD-RE BH12NS38	+667	38	100%
LG Electronics - BD-RE BH14NS40	+6	179	100%
LG Electronics - BD-RE BH14NS48	+6	86	100%
LG Electronics - BD-RE BH16NS40	+6	899	100%
LG Electronics - BD-RE BH16NS48	+6	73	100%
LG Electronics - BD-RE BH16NS55	+6	32	100%
LG Electronics - BD-RE BH16NS58	+6	1	100%
LG Electronics - BD-RE BH20F	+667	6	100%
LG Electronics - BD-RE BH20N	+667	70	100%
LG Electronics - BD-RE BH30N	+667	79	100%
LG Electronics - BD-RE BH40N	+6	9	100%
LG Electronics - BD-RE GBW-B10N	+667	27	100%
LG Electronics - BD-RE GBW-H10N	+667	12	100%
LG Electronics - BD-RE GBW-H20L	+667	62	100%
LG Electronics - BD-RE GBW-H20N	+667	4	75%
LG Electronics - BD-RE GBW-T10N	+667	1	100%
LG Electronics - BD-RE GGW-H20L	+667	1293	100%
LG Electronics - BD-RE GGW-H20N	+667	117	100%
LG Electronics - BD-RE UH10LS20	+667	68	100%
LG Electronics - BD-RE UH12LS28	+667	9	100%
LG Electronics - BD-RE WH08LS20	+667	48	100%
LG Electronics - BD-RE WH10LS30	+667	367	100%
LG Electronics - BD-RE WH12LS30	+667	102	100%
LG Electronics - BD-RE WH12LS38	+667	65	100%
LG Electronics - BD-RE WH12LS39	+667	93	100%
LG Electronics - BD-RE WH14NS40	+6	483	100%
LG Electronics - BD-RE WH16NS40	+6	230	100%
LG Electronics - BD-RE _GBW-T10N	+667	2	100%
LG Electronics - BD-RE BP06LU10	+667	54	100%
LG Electronics - BD-RE BP06LU11	+667	10	100%
LG Electronics - BD-RE BP30N	+667	1	100%
LG Electronics - BD-RE BP40NB30	+667	21	100%
LG Electronics - BD-RE BP40NS20	+667	78	100%
LG Electronics - BD-RE BP50NB40	+6	11	100%
LG Electronics - BD-RE BP55EB40	+6	2	100%
LG Electronics - BD-RE BT10F	+667	9	100%
LG Electronics - BD-RE BT10N	+667	51	100%
LG Electronics - BD-RE BT11F	+667	12	100%
LG Electronics - BD-RE BT20F	+667	7	100%
LG Electronics - BD-RE BT20N	+667	25	100%
LG Electronics - BD-RE BT30N	+667	18	100%
LG Electronics - BD-RE BU10N	+6	3	100%
LG Electronics - BD-RE BU20N	+6	9	100%
LG Electronics - BD-RE WP40NB30	+667	6	100%
LG Electronics - BD-RE_BT10N	+667	4	100%
LG Electronics - BD-RE_BT20N	+667	18	100%
LG Electronics - BD-RE_BT30N	+667	1	100%
LG Electronics - BDDVDRW CA10N	+667	6	100%
LG Electronics - BDDVDRW CA21N	+102	4	100%
LG Electronics - BDDVDRW CA30N	+102	3	100%
LG Electronics - BDDVDRW CA30P	+102	3	100%
LG Electronics - BDDVDRW CA40N	+102	4	100%
LG Electronics - BDDVDRW CH08LS10	+667	430	100%
LG Electronics - BDDVDRW CH08NS10	+667	28	100%
LG Electronics - BDDVDRW CH10F	+667	6	100%
LG Electronics - BDDVDRW CH10L	+667	25	100%
LG Electronics - BDDVDRW CH10LS20	+667	479	100%
LG Electronics - BDDVDRW CH10LS28	+667	133	100%
LG Electronics - BDDVDRW CH10N	+667	16	100%
LG Electronics - BDDVDRW CH10NS20	+667	5	100%
LG Electronics - BDDVDRW CH12LS28	+667	121	100%
LG Electronics - BDDVDRW CH12NS28	+667	7	100%
LG Electronics - BDDVDRW CH12NS30	+6	80	100%
LG Electronics - BDDVDRW CH20N	+667	5	100%
LG Electronics - BDDVDRW CH29N	+667	3	100%
LG Electronics - BDDVDRW CH30N	+6	13	100%
LG Electronics - BDDVDRW CP40NG10	+102	47	100%
LG Electronics - BDDVDRW CP50NS20	+6	6	100%
LG Electronics - BDDVDRW CT10L	+667	60	100%
LG Electronics - BDDVDRW CT10N	+667	116	100%
LG Electronics - BDDVDRW CT21N	+102	115	100%
LG Electronics - BDDVDRW CT30F	+102	26	100%
LG Electronics - BDDVDRW CT30N	+102	59	100%
LG Electronics - BDDVDRW CT30P	+102	12	100%
LG Electronics - BDDVDRW CT31F	+102	8	100%
LG Electronics - BDDVDRW CT40N	+102	18	100%
LG Electronics - BDDVDRW GBC-H20L	+667	137	100%
LG Electronics - BDDVDRW GBC-H20N	+667	26	100%
LG Electronics - BDDVDRW GGC-H20L	+667	1627	100%
LG Electronics - BDDVDRW GGC-H20N	+667	154	100%
LG Electronics - BDDVDRW UH08LS10	+667	27	100%
LG Electronics - BDDVDRW UH10LS20	+667	9	100%
LG Electronics - BDDVDRW UH12LS28	+667	18	100%
LG Electronics - BDDVDRW UH12LS29	+667	42	100%
LG Electronics - BDDVDRW UH12NS29	+667	35	100%
LG Electronics - BDDVDRW UH12NS30	+6	93	100%
LG Electronics - CD-ROM CRD-8484B	-491	1	100%
LG Electronics - CD-ROM GCR-8240N	+687	10	100%
LG Electronics - CD-ROM GCR-8480B	-491	41	100%
LG Electronics - CD-ROM GCR-8481B	-24	56	100%
LG Electronics - CD-ROM GCR-8483B	-24	88	100%
LG Electronics - CD-ROM GCR-8485B	-24	7	100%
LG Electronics - CD-ROM GCR-8486B	+6	1	100%
LG Electronics - CD-ROM GCR-8520B	-491	57	100%
LG Electronics - CD-ROM GCR-8521B	-24	37	100%
LG Electronics - CD-ROM GCR-8522B	-489	7	100%
LG Electronics - CD-ROM GCR-8523B	-24	93	100%
LG Electronics - CD-ROM GCR-8525B	-24	13	100%
LG Electronics - CD-ROM GCR-8526B	+6	8	100%
LG Electronics - CD-ROM GCR-H10N	+6	1	100%
LG Electronics - CD-RW GCE-8080N	+733	9	100%
LG Electronics - CD-RW GCE-8160B	+12	119	100%
LG Electronics - CD-RW GCE-8240B	+733	66	100%
LG Electronics - CD-RW GCE-8320B	+12	139	100%
LG Electronics - CD-RW GCE-8321B	+12	1	100%
LG Electronics - CD-RW GCE-8400B	+12	244	100%
LG Electronics - CD-RW GCE-8480B	+6	51	100%
LG Electronics - CD-RW GCE-8481B	+6	211	100%
LG Electronics - CD-RW GCE-8483B	+6	198	100%
LG Electronics - CD-RW GCE-8486B	+6	11	100%
LG Electronics - CD-RW GCE-8487B	+6	70	100%
LG Electronics - CD-RW GCE-8520B	+6	210	100%
LG Electronics - CD-RW GCE-8522B	+689	4	100%
LG Electronics - CD-RW GCE-8523B	+6	75	100%
LG Electronics - CD-RW GCE-8523BS	+6	2	100%
LG Electronics - CD-RW GCE-8524B	+689	3	100%
LG Electronics - CD-RW GCE-8525B	+6	229	100%
LG Electronics - CD-RW GCE-8526B	+6	204	100%
LG Electronics - CD-RW GCE-8527B	+6	142	100%
LG Electronics - CDRW/DVD GCC4244	+102	235	100%
LG Electronics - CDRW/DVD GCC4247	+102	7	100%
LG Electronics - CDRW/DVD GCC4482	+6	96	100%
LG Electronics - CDRW/DVD GCCH10N	+6	45	100%
LG Electronics - CDRW/DVD GCCH30N	+6	8	100%
LG Electronics - CDRW/DVD GCCT10N	+102	65	100%
LG Electronics - CDRW/DVD GCCT20N	+102	2	100%
LG Electronics - CDRWDVD MU10N	+102	35	100%
LG Electronics - DVD RAM GSA-T20L	+667	1	100%
LG Electronics - DVD+-RW GA10N	+667	65	100%
LG Electronics - DVD+-RW GA11N	+667	62	100%
LG Electronics - DVD+-RW GA31N	+103	141	100%
LG Electronics - DVD+-RW GA50N	+6	15	100%
LG Electronics - DVD+-RW GH30N	+102	196	100%
LG Electronics - DVD+-RW GH50N	+667	494	100%
LG Electronics - DVD+-RW GH70N	+667	120	100%
LG Electronics - DVD+-RW GH82N	+667	62	100%
LG Electronics - DVD+-RW GHA2N	+667	55	100%
LG Electronics - DVD+-RW GHB0N	+6	79	100%
LG Electronics - DVD+-RW GP60N	+103	19	100%
LG Electronics - DVD+-RW GS20N	+667	96	100%
LG Electronics - DVD+-RW GS30N	+667	137	100%
LG Electronics - DVD+-RW GS40N	+6	44	100%
LG Electronics - DVD+-RW GSA-H21L	+102	75	100%
LG Electronics - DVD+-RW GSA-H21N	+102	154	100%
LG Electronics - DVD+-RW GSA-H31L	+102	109	100%
LG Electronics - DVD+-RW GSA-H31N	+102	299	100%
LG Electronics - DVD+-RW GSA-H53L	+102	6	100%
LG Electronics - DVD+-RW GSA-H53N	+102	46	100%
LG Electronics - DVD+-RW GSA-H73N	+102	336	100%
LG Electronics - DVD+-RW GSA-S10N	+667	38	100%
LG Electronics - DVD+-RW GSA-T11N	+667	333	100%
LG Electronics - DVD+-RW GSA-T21N	+667	345	100%
LG Electronics - DVD+-RW GSA-T40N	+667	15	100%
LG Electronics - DVD+-RW GSA-U10N	+667	7	100%
LG Electronics - DVD+-RW GSA-U20N	+667	65	100%
LG Electronics - DVD+-RW GT10N	+102	144	100%
LG Electronics - DVD+-RW GT30N	+103	42	100%
LG Electronics - DVD+-RW GT32N	+103	164	100%
LG Electronics - DVD+-RW GT50N	+103	66	100%
LG Electronics - DVD+-RW GT60N	+103	39	100%
LG Electronics - DVD+-RW GT80N	+102	78	100%
LG Electronics - DVD+-RW GTA0N	+102	13	100%
LG Electronics - DVD+-RW GU10N	+667	76	100%
LG Electronics - DVD+-RW GU40N	+103	114	100%
LG Electronics - DVD+-RW GU60N	+6	56	100%
LG Electronics - DVD+-RW GU70N	+48	47	100%
LG Electronics - DVD+-RW GU90N	+102	108	100%
LG Electronics - DVD+-RW GWA4040N	+48	23	100%
LG Electronics - DVD+-RW GWA4083N	+667	16	100%
LG Electronics - DVD+-RW GWA4164B	+102	210	100%
LG Electronics - DVD+-RW GX10N	+667	13	100%
LG Electronics - DVD+RW GCA-4040N	+48	125	100%
LG Electronics - DVD+RW GRA-4120B	+667	23	100%
LG Electronics - DVD-RAM GH10L	+667	223	100%
LG Electronics - DVD-RAM GH10N	+667	29	100%
LG Electronics - DVD-RAM GH15L	+667	192	100%
LG Electronics - DVD-RAM GH20LP20	+102	22	100%
LG Electronics - DVD-RAM GH22LP20	+102	793	100%
LG Electronics - DVD-RAM GH22LP21	+102	18	100%
LG Electronics - DVD-RAM GH22LS30	+102	679	100%
LG Electronics - DVD-RAM GH22NP20	+102	1374	100%
LG Electronics - DVD-RAM GH22NP21	+102	87	100%
LG Electronics - DVD-RAM GH22NS30	+102	1120	100%
LG Electronics - DVD-RAM GH40L	+667	192	100%
LG Electronics - DVD-RAM GH40N	+667	29	100%
LG Electronics - DVD-RAM GH60L	+667	1	100%
LG Electronics - DVD-RAM GH60N	+667	41	100%
LG Electronics - DVD-RAM GH70N	+667	25	100%
LG Electronics - DVD-RAM GH82N	+667	14	100%
LG Electronics - DVD-RAM GHA2N	+667	10	100%
LG Electronics - DVD-RAM GHB0N	+6	19	100%
LG Electronics - DVD-RAM GHC0N	+6	12	100%
LG Electronics - DVD-RAM GSA-E20N	+102	12	100%
LG Electronics - DVD-RAM GSA-E60L	+102	200	100%
LG Electronics - DVD-RAM GSA-E60N	+102	147	100%
LG Electronics - DVD-RAM GSA-H20L	+102	316	100%
LG Electronics - DVD-RAM GSA-H20N	+102	48	100%
LG Electronics - DVD-RAM GSA-H22L	+102	203	100%
LG Electronics - DVD-RAM GSA-H22N	+102	286	100%
LG Electronics - DVD-RAM GSA-H30N	+102	178	100%
LG Electronics - DVD-RAM GSA-H40N	+667	15	100%
LG Electronics - DVD-RAM GSA-H50L	+102	153	100%
LG Electronics - DVD-RAM GSA-H50N	+102	41	100%
LG Electronics - DVD-RAM GSA-H54L	+102	127	100%
LG Electronics - DVD-RAM GSA-H54N	+102	161	100%
LG Electronics - DVD-RAM GSA-H55L	+102	626	100%
LG Electronics - DVD-RAM GSA-H55N	+102	1082	100%
LG Electronics - DVD-RAM GSA-H58N	+102	393	100%
LG Electronics - DVD-RAM GSA-H60L	+667	128	100%
LG Electronics - DVD-RAM GSA-H60N	+667	35	100%
LG Electronics - DVD-ROM DH10N	+102	86	100%
LG Electronics - DVD-ROM DH16NS10	+102	143	100%
LG Electronics - DVD-ROM DH20N	+6	30	100%
LG Electronics - DVD-ROM DH30N	+6	14	100%
LG Electronics - DVD-ROM DH40N	+6	14	100%
LG Electronics - DVD-ROM DH41N	+6	6	100%
LG Electronics - DVD-ROM DH50N	+6	4	100%
LG Electronics - DVD-ROM DP10N	+102	1	100%
LG Electronics - DVD-ROM DP61N	+6	1	100%
LG Electronics - DVD-ROM DTA0N	+102	3	100%
LG Electronics - DVD-ROM DU10N	+102	32	100%
LG Electronics - DVD-ROM DU20N	+667	4	100%
LG Electronics - DVD-ROM DU30N	+103	6	100%
LG Electronics - DVD-ROM DU60N	+6	7	100%
LG Electronics - DVD-ROM DU70N	+48	4	100%
LG Electronics - DVD-ROM DU90N	+102	5	100%
LG Electronics - DVD-ROM GDR-D10N	+102	5	100%
LG Electronics - DVD-ROM GDR-D20N	+102	2	100%
LG Electronics - DVD-ROM GDR-H30N	+6	250	100%
LG Electronics - DVD-ROM GDR-M10N	+102	3	100%
LG Electronics - DVD-ROM GDR-R10N	+102	1	100%
LG Electronics - DVD-ROM GDR-T10N	+102	3	100%
LG Electronics - DVD-ROM GDR-T20N	+102	8	100%
LG Electronics - DVD-ROM GDR3120L	+102	1	100%
LG Electronics - DVD-ROM GDR8081N	+667	57	100%
LG Electronics - DVD-ROM GDR8082N	+102	114	100%
LG Electronics - DVD-ROM GDR8083N	+102	58	100%
LG Electronics - DVD-ROM GDR8084N	+102	30	100%
LG Electronics - DVD-ROM GDR8085N	+102	3	100%
LG Electronics - DVD-ROM GDR8087N	+102	22	100%
LG Electronics - DVD-ROM GDR8160B	+102	101	100%
LG Electronics - DVD-ROM GDR8161B	+102	430	100%
LG Electronics - DVD-ROM GDR8162B	+102	703	100%
LG Electronics - DVD-ROM GDR8163B	+102	1185	100%
LG Electronics - DVD-ROM GDR8164B	+102	1222	100%
LG Electronics - DVD-ROM GDRH10N	+102	197	100%
LG Electronics - DVD-ROM GDRH20N	+102	467	100%
LG Electronics - DVD-RW GCA-4020B	+667	1	100%
LG Electronics - DVD-RW GCA-4080N	+667	112	100%
LG Electronics - DVD-RW GH41N	+667	49	100%
LG Electronics - DVD-RW GH61N	+667	15	100%
LG Electronics - DVD-RW GH80N	+667	2	100%
LG Electronics - DVD-RW GRA-4082N	+667	3	100%
LG Electronics - DVD-RW GSA-H11N	+667	46	100%
LG Electronics - DVD-RW GSA-H60L	+667	161	100%
LG Electronics - DVD-RW GSA-T11N	+667	1	100%
LG Electronics - DVD-RW GWA-4040B	+667	4	100%
LG Electronics - DVD-RW GWA-4040N	+48	44	100%
LG Electronics - DVD-RW GWA-4080N	+667	82	100%
LG Electronics - DVD-RW GWA-4082B	+667	3	100%
LG Electronics - DVD-RW GWA-4082N	+667	261	100%
LG Electronics - DVD-RW GWA-4160B	+667	36	100%
LG Electronics - DVD-RW GWA-4163B	+667	16	100%
LG Electronics - DVD-RW GWA-4165B	+667	46	100%
LG Electronics - DVD-RW_GSA-H11N	+667	70	100%
LG Electronics - DVD-RW_GSA-H41N	+667	87	100%
LG Electronics - DVDRAM AP70NS50	+6	12	100%
LG Electronics - DVDRAM GA10F	+667	23	100%
LG Electronics - DVDRAM GA10N	+667	14	100%
LG Electronics - DVDRAM GA31F	+103	2	100%
LG Electronics - DVDRAM GA31N	+103	21	100%
LG Electronics - DVDRAM GA50N	+6	3	100%
LG Electronics - DVDRAM GDA-4040B	+667	3	100%
LG Electronics - DVDRAM GDA-4120B	+667	2	100%
LG Electronics - DVDRAM GE20LU10	+667	299	100%
LG Electronics - DVDRAM GE20LU11	+667	108	100%
LG Electronics - DVDRAM GE20NU10	+667	192	100%
LG Electronics - DVDRAM GE20NU11	+667	72	100%
LG Electronics - DVDRAM GE24LU20	+667	80	100%
LG Electronics - DVDRAM GE24LU21	+667	13	100%
LG Electronics - DVDRAM GE24NU21	+667	32	100%
LG Electronics - DVDRAM GE24NU30	+667	28	100%
LG Electronics - DVDRAM GE24NU40	+6	58	100%
LG Electronics - DVDRAM GH10L	+667	1	100%
LG Electronics - DVDRAM GH10N	+667	85	100%
LG Electronics - DVDRAM GH15F	+667	262	100%
LG Electronics - DVDRAM GH20LS10	+667	161	100%
LG Electronics - DVDRAM GH20LS15	+667	171	100%
LG Electronics - DVDRAM GH20NS10	+667	1268	100%
LG Electronics - DVDRAM GH20NS15	+667	550	100%
LG Electronics - DVDRAM GH22LS40	+667	178	100%
LG Electronics - DVDRAM GH22LS50	+667	782	100%
LG Electronics - DVDRAM GH22LS51	+667	8	100%
LG Electronics - DVDRAM GH22LS70	+667	20	100%
LG Electronics - DVDRAM GH22NS40	+667	1409	100%
LG Electronics - DVDRAM GH22NS50	+667	2552	100%
LG Electronics - DVDRAM GH22NS51	+667	5	100%
LG Electronics - DVDRAM GH22NS70	+667	470	100%
LG Electronics - DVDRAM GH22NS90	+6	130	100%
LG Electronics - DVDRAM GH24LS50	+667	177	100%
LG Electronics - DVDRAM GH24LS70	+667	83	100%
LG Electronics - DVDRAM GH24NS50	+667	462	100%
LG Electronics - DVDRAM GH24NS70	+667	354	100%
LG Electronics - DVDRAM GH24NS71	+667	15	100%
LG Electronics - DVDRAM GH24NS72	+667	70	100%
LG Electronics - DVDRAM GH24NS90	+6	550	100%
LG Electronics - DVDRAM GH24NS95	+6	685	100%
LG Electronics - DVDRAM GH24NS96	+6	6	100%
LG Electronics - DVDRAM GH24NSB0	+6	541	100%
LG Electronics - DVDRAM GH24NSC0	+6	257	100%
LG Electronics - DVDRAM GH24NSD0	+6	2	100%
LG Electronics - DVDRAM GH24NSD1	+6	46	100%
LG Electronics - DVDRAM GH40F	+667	178	100%
LG Electronics - DVDRAM GH40L	+667	8	100%
LG Electronics - DVDRAM GH40N	+667	123	100%
LG Electronics - DVDRAM GH41N	+667	218	100%
LG Electronics - DVDRAM GH50N	+667	4	100%
LG Electronics - DVDRAM GH60L	+667	1	100%
LG Electronics - DVDRAM GH60N	+667	224	100%
LG Electronics - DVDRAM GH70N	+667	103	100%
LG Electronics - DVDRAM GH80N	+667	3	100%
LG Electronics - DVDRAM GH82N	+667	27	100%
LG Electronics - DVDRAM GHA2N	+667	21	100%
LG Electronics - DVDRAM GHB0N	+6	32	100%
LG Electronics - DVDRAM GHC0N	+6	3	100%
LG Electronics - DVDRAM GMA-4020B	+667	67	100%
LG Electronics - DVDRAM GMA-4040B	+667	1	100%
LG Electronics - DVDRAM GMA-4080N	+667	61	100%
